restaurant_name_tc,restaurant_name_en,district_name_tc,district_name_en,district_code,address_tc,address_en,license_id,license_type_code,info_code,expiry_date,latitude,longitude,lastupdate,google_id,rating,price_level,review_count,primary_type,all_types,naming_style_en,naming_style_tc
泰朝泰國菜館,Nittaya Restaurant,荃灣區,Tsuen Wan,92,新界荃灣深井深井村91號地下及舖前露天座位,"G/F AND OUTSIDE SEATING ACCOMMODATION AT SHOPFRONT, 91 SHAM TSENG TSUEN, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",2292801477,RL,#A,2027-03-06,22.367118,114.059239,2026-03-02,ChIJ3c4E51z5AzQRwDxz3AJgZtE,3.7,0.0,96,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
泰式食,THAI CUISINE,九龍城區,Kowloon City,52,九龍九龍城城南道11號地下及閣樓,"G/F & COCKLOFT, 11 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",2252801323,RL,,2027-03-19,22.328588,114.190771,2026-03-17,ChIJl_bsryoHBDQRagT1RYWm_bg,4.2,0.0,56,thai_restaurant,"['thai_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",Pun,食字
泰禾美,泰禾美,九龍城區,Kowloon City,52,九龍九龍城龍崗道11-13號龍威大厦地下A舖,"SHOP A, G/F, DRAGON MANSION, 11-13 LUNG KONG ROAD, KOWLOON CITY, KOWLOON",2252801262,RL,#G,2027-01-23,22.3284672,114.190218,2025-12-24,ChIJwWX_syoHBDQRMQK7trm7hk0,4.1,3.0,295,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
安柏娃泰國燒烤菜館,安柏娃泰國燒烤菜館,油尖區,Yau Tsim,61,九龍油麻地文明里2號地下,"G/F, 2 MAN MING LANE, YAU MA TEI, KOWLOON",2261803510,RL,#G#H,2026-05-18,22.3116592,114.1707934,2025-05-16,ChIJw0Lj_sAABDQR-OtKlsPA970,4.2,0.0,165,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
象泰･宴,象泰･宴,屯門區,Tuen Mun,93,"新界屯門青善街8,10及12號康景花園商場 地下8,9及10號鋪","SHOP 8, 9, 10, G/F, HONG KING GARDEN SHOPPING CENTRE, 8, 10, 12 TSING SIN STREET, TUEN MUN, NEW TERRITORIES",2293800815,RL,,2026-10-26,22.3854424,113.9799861,2026-03-17,ChIJvTcF_PL7AzQRkz6z4YmjuaY,3.7,3.0,338,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
東源(泰味屋),Nitaya Thai House,灣仔區,Wan Chai,12,香港銅鑼灣銅鑼灣道140號地下,"G/F., NO. 140 TUNG LO WAN ROAD, CAUSEWAY BAY, HONG KONG",2211801573,RL,,2027-04-14,22.2810538,114.1921586,2026-03-03,ChIJu0T00KoBBDQRufKf8PKnFOY,3.9,3.0,229,thai_restaurant,"['thai_restaurant', 'asian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰好食,泰好食,灣仔區,Wan Chai,12,香港灣仔厦門街1號廣泰樓地下D1號鋪,"SHOP D1, GROUND FLOOR, MOUNTAIN VIEW MANSION, NO. 1 AMOY STREET, WAN CHAI, HONG KONG",2212803673,RL,,2026-09-04,22.2754566,114.1717926,2025-09-17,ChIJ5VfxzFwABDQRmBXPCjMGoRY,3.6,0.0,58,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
泰榮華,WING WAH THAI STYLE,東區,Eastern,11,香港筲箕灣南安街95號地下B鋪,"SHOP B, G/F., NO. 95 NAM ON STREET, SHAU KEI WAN, HONG KONG",2211801829,RL,,2026-11-05,22.2794813,114.2262677,2025-10-20,ChIJ5x2FkXcBBDQReSQtoEVUvmU,4.0,3.0,202,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
Milu Thai Restaurant,Milu Thai Restaurant,灣仔區,Wan Chai,12,香港銅鑼灣耀華街３號百樂中心２樓,"2/F., BARTLOCK CENTRE, 3 YIU WA STREET, CAUSEWAY BAY, HONG KONG",2212803318,RL,#F#G#H,2026-04-28,22.2776822,114.1821833,2025-04-01,ChIJGyJrO4ABBDQRxBbhvvaMsa4,4.2,0.0,464,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",English,英文
泰國婆,GRANDMA THAI,西貢區,Sai Kung,98,新界西貢將軍澳重華路8號東港城2樓238號鋪,"SHOP NO. 238, LEVEL 2, EAST POINT CITY, 8 CHUNG WA ROAD, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",2298800777,RL,,2026-05-01,22.3163658,114.2652397,2025-05-02,ChIJd2P7PgAFBDQRv2rs3jwLCfY,3.1,0.0,54,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
